表4　刑事案件發生數、破獲數及嫌疑犯人數－按案類別(續1),,,,,"Table 4. Criminal Cases Known to the Police,
Cases Cleared and Number of Offenders - by Classification (Cont.1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：件；人,,,,,,,,,"Unit:Cases,Persons",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
年別,,,總計,竊盜,贓物,賭博,傷害,詐欺背信,重利,妨害自由,殺人,駕駛過失,妨害婚姻及家庭,妨害風化,妨害性自主罪,內亂,恐嚇取財,擄人勒贖,侵占,偽造文書            印文,違反毒品危害防制條例,毀棄損壞,妨害公務,強盜搶奪,竊佔,偽造有價證券,妨害秩序,違反藥事法,違反國家    總動員法,違反        森林法,違反        著作權法,違反     商標法,公共危險,侵害     墳墓屍體,妨害名譽,違反       選罷法,妨害秘密,遺棄,懲治    走私條例,違反貪汙        治罪條例,瀆職,妨害兵役,偽造貨幣,偽造度量衡,偽證,誣告,湮滅證據,藏匿頂替,脫逃,違反槍砲彈藥刀械管制條例,違反就業服務法,妨害電腦使用(2),其他,暴力犯罪(3)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"民國104年
2015",發生數,Cases Known to the Police,"297,800","66,255",666,"6,969","11,141","21,825","1,909","6,361",522,"13,431",647,"2,220","3,648",    －,"1,126",7,"5,671","3,406","49,576","5,304","1,287",740,741,78,117,301,    －,242,"2,128","2,755","71,075",3,"4,771",99,531,137,9,7,86,11,50,    －,33,474,23,34,5,"1,663",9,"2,959","6,748","1,956"
,破獲數,Cases Cleared,"273,567","55,055",666,"6,969","10,476","18,520","1,902","5,816",518,"13,389",610,"2,205","3,637",    －,"1,020",7,"4,056","2,630","49,576","2,955","1,282",756,706,63,112,301,    －,242,"2,112","2,755","70,984",3,"4,009",99,464,130,9,7,65,11,50,    －,33,468,23,34,5,"1,662",9,578,"6,588","2,008"
,嫌疑犯,Offenders,"269,296","33,913",685,"13,366","13,324","17,888","1,967","6,420",897,"13,295",728,"2,483","3,537",    －,"1,150",33,"3,283","2,531","53,622","2,845","1,277",856,961,69,134,374,    －,562,"2,364","2,863","70,305",6,"4,030",228,488,107,16,9,76,5,49,    －,45,426,41,51,6,"1,540",11,451,"9,979","2,522"
"民國105年
2016",發生數,Cases Known to the Police,"294,831","57,606",295,"6,798","11,790","23,994","1,347","7,136",465,"13,755",622,"1,622","3,642",    －,885,4,"6,147","3,424","54,873","5,335","1,474",643,684,74,92,631,    －,319,"2,371","2,610","68,776",3,"5,333",191,532,115,12,9,25,15,70,    －,16,461,7,24,11,"1,660",9,"2,472","6,452","1,627"
,破獲數,Cases Cleared,"274,091","48,898",295,"6,798","11,118","20,565","1,340","6,601",459,"13,648",603,"1,608","3,558",    －,845,4,"4,686","2,734","54,873","3,410","1,471",668,673,62,89,631,    －,319,"2,348","2,599","68,803",3,"4,491",189,472,107,12,9,18,15,70,    －,16,449,7,24,11,"1,654",9,491,"6,338","1,656"
,嫌疑犯,Offenders,"272,817","31,543",251,"11,251","15,086","21,005","1,587","7,442",844,"13,723",773,"1,801","3,415",    －,"1,153",10,"3,716","2,653","58,707","3,396","1,432",806,879,84,144,614,    －,525,"2,438","2,712","67,654",7,"4,617",723,491,122,26,16,23,5,77,    －,29,428,9,30,11,"1,486",11,410,"8,652","2,208"
"民國106年
2017",發生數,Cases Known to the Police,"293,453","52,025",246,"6,447","11,709","23,623",857,"7,391",451,"13,820",591,"1,537","3,353",    －,806,3,"6,439","3,438","58,515","5,298","1,573",523,634,71,201,734,    －,277,"2,616","2,087","67,148",10,"6,797",1,570,104,10,4,20,3,72,    －,22,457,13,28,9,"1,956",10,"2,196","8,758","1,260"
,破獲數,Cases Cleared,"277,506","46,022",246,"6,447","11,152","21,667",844,"6,904",446,"13,711",560,"1,521","3,244",    －,765,3,"5,090","2,832","58,515","3,687","1,568",554,613,67,199,734,    －,276,"2,518","2,042","67,119",8,"5,735",    －,507,101,10,4,15,3,72,    －,22,450,13,28,9,"1,954",10,575,"8,644","1,293"
,嫌疑犯,Offenders,"287,294","32,204",261,"11,038","15,505","25,104","1,230","8,535",842,"14,183",743,"1,682","3,193",    －,"1,217",23,"4,237","2,820","62,644","3,872","1,534",707,787,85,559,606,    －,510,"2,652","2,182","67,874",9,"5,957",    －,536,118,25,5,22,2,82,    －,25,424,22,29,10,"1,714",16,447,"11,022","1,910"
"民國107年
2018",發生數,Cases Known to the Police,"284,538","47,591",173,"4,542","12,256","24,585",473,"8,206",379,"15,099",616,"1,540","3,263",    －,685,5,"7,382","3,091","55,480","5,439","1,622",399,595,70,249,385,    －,228,"2,776","1,808","64,153",3,"7,611","1,365",660,114,4,5,23,4,76,    －,33,459,20,36,7,"1,765",11,"1,928","7,324",993
,破獲數,Cases Cleared,"270,882","43,262",173,"4,542","11,674","22,697",462,"7,704",374,"14,969",590,"1,521","3,215",    －,656,5,"6,079","2,615","55,480","4,099","1,618",412,593,64,245,385,    －,228,"2,653","1,715","64,138",1,"6,565","1,342",577,106,4,4,19,4,76,    －,33,448,20,34,7,"1,763",11,527,"7,173",995
,嫌疑犯,Offenders,"291,621","32,028",175,"9,988","16,180","28,169",621,"9,731",849,"15,535",795,"1,743","3,123",    －,"1,150",35,"5,154","2,668","59,106","4,367","1,585",560,838,76,725,334,    －,332,"2,806","1,849","65,176",    －,"6,849","5,543",574,116,9,9,29,    －,99,    －,38,453,23,59,11,"1,598",14,446,"10,053","1,666"
"民國108年
2019",發生數,Cases Known to the Police,"268,349","42,272",115,"4,858","13,213","24,642",669,"8,990",378,"16,588",649,"1,218","3,384",    －,575,6,"7,801","2,964","47,035","5,403","1,572",329,559,81,228,326,    －,217,"2,134","2,031","59,876",5,"8,083",178,725,100,5,5,34,1,59,    －,37,446,15,38,7,"1,475",8,"1,847","7,168",859
,破獲數,Cases Cleared,"258,706","40,406",115,"4,858","12,856","22,883",658,"8,553",388,"16,426",632,"1,213","3,310",    －,568,6,"6,718","2,610","47,035","4,483","1,572",338,546,76,227,326,    －,217,"2,035","1,970","59,841",4,"7,034",176,675,98,5,5,22,1,59,    －,37,439,15,38,7,"1,475",8,705,"7,037",898
,嫌疑犯,Offenders,"277,664","31,398",121,"9,792","18,381","30,469",962,"10,921",806,"16,888",849,"1,372","3,194",    －,992,18,"5,639","2,671","49,131","4,838","1,565",476,704,74,680,335,    －,365,"2,126","2,219","59,918",5,"7,302",375,678,102,21,9,30,    －,67,    －,53,435,18,49,6,"1,340",9,553,"9,708","1,464"
"民國109年
2020",發生數,Cases Known to the Police,"259,713","37,016",112,"3,175","12,666","24,607","1,200","9,994",332,"16,578",451,999,"4,217",    －,620,1,"8,160","2,980","45,489","5,232","1,536",281,690,77,"1,231",828,    －,177,"2,088","2,211","53,835",5,"8,949",208,903,106,7,10,39,1,48,    －,33,506,9,38,15,"1,427",5,"1,799","8,822",707
,破獲數,Cases Cleared,"253,741","36,597",112,"3,175","12,355","24,122","1,185","9,459",335,"16,369",449,985,"4,129",    －,578,1,"7,268","2,744","45,489","4,687","1,532",296,671,73,"1,215",828,    －,176,"1,907","2,118","53,787",5,"8,301",210,820,102,7,10,29,1,48,    －,33,504,9,38,15,"1,427",5,943,"8,592",737
,嫌疑犯,Offenders,"281,811","29,128",120,"8,555","16,330","35,091","1,642","11,633",632,"17,519",537,"1,155","4,002",    －,945,5,"6,077","2,892","47,779","4,755","1,517",480,947,84,"5,995",769,    －,322,"2,065","2,362","54,251",5,"8,311",400,804,89,11,15,41,2,42,    －,50,466,15,55,16,"1,353",7,762,"11,778","1,195"
"民國110年
2021",發生數,Cases Known to the Police,"243,082","35,067",73,"2,513","12,717","26,068",614,"11,950",292,"18,695",319,991,"4,081",    －,562,7,"8,420","3,065","38,644","5,879","1,252",267,737,65,"1,390",460,    －,207,"1,844","1,881","42,001",8,"8,960",8,972,114,4,6,13,1,62,    －,24,532,13,44,6,"1,221",10,"1,526","9,497",598
,破獲數,Cases Cleared,"240,177","34,826",73,"2,513","12,620","25,815",613,"11,809",289,"18,723",312,977,"3,929",    －,543,7,"8,008","2,896","38,644","5,520","1,253",269,733,66,"1,382",460,    －,208,"1,731","1,733","41,987",8,"8,719",8,949,112,4,6,12,1,62,    －,24,529,13,44,6,"1,220",10,"1,127","9,384",597
,嫌疑犯,Offenders,"265,221","27,929",86,"6,339","16,185","37,335",903,"14,217",561,"19,763",279,"1,105","3,718",    －,850,49,"6,504","2,811","40,987","5,342","1,244",407,902,61,"6,578",490,    －,368,"2,072","1,952","41,844",21,"8,687",23,912,107,19,6,23,    －,61,    －,28,490,25,57,9,"1,148",10,795,"11,919","1,073"
"民國111年
2022",發生數,Cases Known to the Police,"265,518","37,670",67,"3,135","13,972","30,876",856,"14,438",254,"21,172",349,849,"4,520",    －,544,1,"10,067","3,422","38,088","6,791","1,224",233,743,70,"1,229",332,    －,201,"2,074","2,278","41,331",9,"9,833","1,393","1,163",142,2,7,27,2,66,    －,30,598,10,51,9,"1,135",10,"2,156","12,089",499
,破獲數,Cases Cleared,"256,733","36,603",67,"3,135","13,435","30,026",845,"13,669",253,"20,479",338,834,"4,324",    －,480,1,"9,385","3,233","38,088","6,177","1,212",229,726,68,"1,221",332,    －,201,"1,982","2,003","41,257",8,"9,172","1,369","1,087",137,2,7,16,2,66,    －,30,578,10,51,9,"1,134",10,"1,247","11,195",497
,嫌疑犯,Offenders,"291,891","31,139",80,"6,853","17,303","46,690","1,239","16,358",424,"21,514",300,955,"4,199",    －,756,4,"7,876","3,046","39,964","6,175","1,263",341,917,67,"6,187",324,    －,406,"2,063","2,160","41,285",16,"9,263","3,845","1,088",123,2,20,17,3,57,    －,36,529,12,63,12,"1,139",14,939,"14,825",761
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
